Tanggal,Total
18/03/2020,227
19/03/2020,82
20/03/2020,47
21/03/2020,84
22/03/2020,68
23/03/2020,63
24/03/2020,110
25/03/2020,97
26/03/2020,95
27/03/2020,145
28/03/2020,107
29/03/2020,127
30/03/2020,125
31/03/2020,123
1/4/2020,149
2/4/2020,113
3/4/2020,193
4/4/2020,100
5/4/2020,176
6/4/2020,226
7/4/2020,247
8/4/2020,218
9/4/2020,337
10/4/2020,218
11/4/2020,330
12/4/2020,399
13/04/2020,325
14/04/2020,281
15/04/2020,297
16/04/2020,380
17/04/2020,408
18/04/2020,325
19/04/2020,327
20/04/2020,184
21/04/2020,375
22/04/2020,283
23/04/2020,358
24/04/2020,436
25/04/2020,396
26/04/2020,275
27/04/2020,214
28/04/2020,414
29/04/2020,260
30/04/2020,348
1/5/2020,433
2/5/2020,294
3/5/2020,349
4/5/2020,397
5/5/2020,484
6/5/2020,367
7/5/2020,338
8/5/2020,337
9/5/2020,533
10/5/2020,387
11/5/2020,233
12/5/2020,484
13/05/2020,689
14/05/2020,568
15/05/2020,490
16/05/2020,529
17/05/2020,489
18/05/2020,496
19/05/2020,486
20/05/2020,693
21/05/2020,973
22/05/2020,634
23/05/2020,949
24/05/2020,526
25/05/2020,479
26/05/2020,415
27/05/2020,786
28/05/2020,587
29/05/2020,678
30/05/2020,557
31/05/2020,700
1/6/2020,467
2/6/2020,609
3/6/2020,684
4/6/2020,585
5/6/2020,703
6/6/2020,993
7/6/2020,672
8/6/2020,847
9/6/2020,1043
10/6/2020,1240
11/6/2020,1000
12/6/2020,1111
13/06/2020,1014
14/06/2020,857
15/06/2020,1017
16/06/2020,1103
17/06/2020,1034
18/06/2020,1331
19/06/2020,1041
20/06/2020,1226
21/06/2020,862
22/06/2020,954
23/06/2020,1051
24/06/2020,1113
25/06/2020,1178
26/06/2020,1240
27/06/2020,1384
28/06/2020,1195
29/06/2020,1082
30/06/2020,1293
1/7/2020,1385
2/7/2020,1624
3/7/2020,1301
4/7/2020,1449
5/7/2020,1607
6/7/2020,1209
7/7/2020,1268
8/7/2020,1853
9/7/2020,2657
10/7/2020,1579
11/7/2020,1671
12/7/2020,1681
13/07/2020,1282
14/07/2020,1591
15/07/2020,1522
16/07/2020,1584
17/07/2020,1462
18/07/2020,1752
19/07/2020,1639
20/07/2020,1705
21/07/2020,1657
22/07/2020,1882
23/07/2020,1906
24/07/2020,1760
25/07/2020,1869
26/07/2020,1492
27/07/2020,1525
28/07/2020,1748
29/07/2020,2381
30/07/2020,1904
31/07/2020,2040
1/8/2020,1560
2/8/2020,1519
3/8/2020,1679
4/8/2020,1922
5/8/2020,1815
6/8/2020,1882
7/8/2020,2473
8/8/2020,2287
9/8/2020,1893
10/8/2020,1687
11/8/2020,1693
12/8/2020,1942
13/08/2020,2098
14/08/2020,2307
15/08/2020,2345
16/08/2020,2081
17/08/2020,1821
18/08/2020,1673
19/08/2020,1902
20/08/2020,2266
21/08/2020,2197
22/08/2020,2090
23/08/2020,2037
24/08/2020,1877
25/08/2020,2447
26/08/2020,2306
27/08/2020,2719
28/08/2020,3003
29/08/2020,3308
30/08/2020,2858
31/08/2020,2743
1/9/2020,2775
2/9/2020,3075
3/9/2020,3622
4/9/2020,3269
5/9/2020,3128
6/9/2020,3444
7/9/2020,2880
8/9/2020,3046
9/9/2020,3307
10/9/2020,3861
11/9/2020,3737
12/9/2020,3806
13/09/2020,3636
14/09/2020,3141
15/09/2020,3507
16/09/2020,3963
17/09/2020,3635
18/09/2020,3891
19/09/2020,4168
20/09/2020,3989
21/09/2020,4176
22/09/2020,4071
23/09/2020,4465
24/09/2020,4634
25/09/2020,4823
26/09/2020,4494
27/09/2020,3874
28/09/2020,3509
29/09/2020,4002
30/09/2020,4284
1/10/2020,4174
2/10/2020,4317
3/10/2020,4007
4/10/2020,3992
5/10/2020,3622
6/10/2020,4056
7/10/2020,4538
8/10/2020,4850
9/10/2020,4094
10/10/2020,4294
11/10/2020,4497
12/10/2020,3267
13/10/2020,3906
14/10/2020,4127
15/10/2020,4411
16/10/2020,4301
17/10/2020,4301
18/10/2020,4105
19/10/2020,3373
20/10/2020,3602
21/10/2020,4267
22/10/2020,4432
23/10/2020,4369
24/10/2020,4070
25/10/2020,3732
26/10/2020,3222
27/10/2020,3520
28/10/2020,4029
29/10/2020,3565
30/10/2020,2897
31/10/2020,3143
1/11/2020,2699
2/11/2020,2615
3/11/2020,2973
4/11/2020,3356
5/11/2020,4065
6/11/2020,3778
7/11/2020,4262
8/11/2020,3880
9/11/2020,2853
10/11/2020,3779
11/11/2020,3770
12/11/2020,4173
13/11/2020,5444
14/11/2020,5272
15/11/2020,4106
16/11/2020,3535
17/11/2020,3807
18/11/2020,4265
19/11/2020,4708
20/11/2020,4882
21/11/2020,4998
22/11/2020,4360
23/11/2020,4442
24/11/2020,4192
25/11/2020,5534
26/11/2020,4917
27/11/2020,5828
28/11/2020,5418
29/11/2020,6267
30/11/2020,4617
1/12/2020,5092
2/12/2020,5533
3/12/2020,8369
4/12/2020,5803
5/12/2020,6027
6/12/2020,6089
7/12/2020,5754
8/12/2020,5292
9/12/2020,6058
10/12/2020,6033
11/12/2020,6310
12/12/2020,6388
13/12/2020,6189
14/12/2020,5489
15/12/2020,6120
16/12/2020,6725
17/12/2020,7354
18/12/2020,6689
19/12/2020,7751
20/12/2020,6982
21/12/2020,6848
22/12/2020,6347
23/12/2020,7514
24/12/2020,7199
25/12/2020,7259
26/12/2020,6740
27/12/2020,6528
28/12/2020,5854
29/12/2020,7903
30/12/2020,8002
31/12/2020,8074
1/1/2021,8072
2/1/2021,7203
3/1/2021,6877
4/1/2021,6753
5/1/2021,7445
6/1/2021,8854
7/1/2021,9321
8/1/2021,10617
9/1/2021,10046
10/1/2021,9640
11/1/2021,8692
12/1/2021,10047
13/01/2021,11278
14/01/2021,11557
15/01/2021,12818
16/01/2021,14224
17/01/2021,11287
18/01/2021,9086
19/01/2021,10365
20/01/2021,12568
21/01/2021,11703
22/01/2021,13632
23/01/2021,12191
24/01/2021,11788
25/01/2021,9994
26/01/2021,13094
27/01/2021,11948
28/01/2021,13695
29/01/2021,13802
30/01/2021,14518
31/01/2021,12001
1/2/2021,10994
2/2/2021,10379
3/2/2021,11984
4/2/2021,11434
5/2/2021,11749
6/2/2021,12156
7/2/2021,10827
8/2/2021,8242
9/2/2021,8700
10/2/2021,8776
11/2/2021,8435
12/2/2021,9869
13/02/2021,8844
14/02/2021,6765
15/02/2021,6462
16/02/2021,10029
17/02/2021,9687
18/02/2021,9039
19/02/2021,10614
20/02/2021,8054
21/02/2021,7300
22/02/2021,10180
23/02/2021,10015
24/02/2021,7293
25/02/2021,8493
26/02/2021,8232
27/02/2021,6208
28/02/2021,5560
1/3/2021,6680
2/3/2021,5712
3/3/2021,6808
4/3/2021,7264
5/3/2021,6971
6/3/2021,5767
7/3/2021,5826
8/3/2021,6894
9/3/2021,6389
10/3/2021,5633
11/3/2021,5144
12/3/2021,6412
13/03/2021,4607
14/03/2021,4714
15/03/2021,5589
16/03/2021,5414
17/03/2021,6825
18/03/2021,6570
19/03/2021,6279
20/03/2021,5656
21/03/2021,4396
22/03/2021,5744
23/03/2021,5297
24/03/2021,5227
25/03/2021,6107
26/03/2021,4982
27/03/2021,4461
28/03/2021,4083
29/03/2021,5008
30/03/2021,4682
31/03/2021,5937
1/4/2021,6142
2/4/2021,5325
3/4/2021,4345
4/4/2021,6731
5/4/2021,3712
6/4/2021,4549
7/4/2021,4860
8/4/2021,5504
9/4/2021,5265
10/4/2021,4723
11/4/2021,4127
12/4/2021,4829
13/04/2021,5702
14/04/2021,5656
15/04/2021,6177
16/04/2021,5363
17/04/2021,5041
18/04/2021,4585
19/04/2021,4952
20/04/2021,5549
21/04/2021,5720
22/04/2021,6243
23/04/2021,5436
24/04/2021,4544
25/04/2021,4402
26/04/2021,5944
27/04/2021,4656
28/04/2021,5241
29/04/2021,5833
30/04/2021,5500
1/5/2021,4512
2/5/2021,4394
3/5/2021,4730
4/5/2021,4369
5/5/2021,5285
6/5/2021,5647
7/5/2021,6327
8/5/2021,6130
9/5/2021,3922
10/5/2021,4891
11/5/2021,5021
12/5/2021,4608
13/05/2021,3448
14/05/2021,2633
15/05/2021,2385
16/05/2021,3080
17/05/2021,4295
18/05/2021,4185
19/05/2021,4871
20/05/2021,5797
21/05/2021,5746
22/05/2021,5296
23/05/2021,5280
24/05/2021,5907
25/05/2021,5060
26/05/2021,5034
27/05/2021,6278
28/05/2021,5862
29/05/2021,6565
30/05/2021,6115
31/05/2021,5662
1/6/2021,4824
2/6/2021,5246
3/6/2021,5353
4/6/2021,6486
5/6/2021,6594
6/6/2021,5832
7/6/2021,6993
8/6/2021,6294
9/6/2021,7725
10/6/2021,8892
11/6/2021,8083
12/6/2021,7465
13/06/2021,9868
14/06/2021,8189
15/06/2021,8161
16/06/2021,9944
17/06/2021,12624
18/06/2021,12990
19/06/2021,12906
20/06/2021,13737
21/06/2021,14536
22/06/2021,13668
23/06/2021,15308
24/06/2021,20574
25/06/2021,18872
26/06/2021,21095
27/06/2021,21342
28/06/2021,20694
29/06/2021,20467
30/06/2021,21807
1/7/2021,24836
2/7/2021,25830
3/7/2021,27913
4/7/2021,27233
5/7/2021,29745
6/7/2021,31189
7/7/2021,34379
8/7/2021,38391
9/7/2021,38124
10/7/2021,35094
11/7/2021,36197
12/7/2021,40427
13/07/2021,47899
14/07/2021,54517
15/07/2021,56757
16/07/2021,54000
17/07/2021,51952
18/07/2021,44721
19/07/2021,34257
20/07/2021,38325
21/07/2021,33772
22/07/2021,49509
23/07/2021,49071
24/07/2021,45416
25/07/2021,38679
26/07/2021,28228
27/07/2021,45203
28/07/2021,47791
29/07/2021,43479
30/07/2021,41168
31/07/2021,37284
1/8/2021,30738
2/8/2021,22404
3/8/2021,33900
4/8/2021,35867
5/8/2021,35764
6/8/2021,39532
7/8/2021,31753
8/8/2021,26415
9/8/2021,20709
10/8/2021,32081
11/8/2021,30625
12/8/2021,24709
13/08/2021,30788
14/08/2021,28598
15/08/2021,20813
16/08/2021,17384
17/08/2021,20741
18/08/2021,15768
19/08/2021,22053
20/08/2021,20004
21/08/2021,16744
22/08/2021,12408
23/08/2021,9604
24/08/2021,19106
25/08/2021,18671
26/08/2021,16899
27/08/2021,12618
28/08/2021,10050
29/08/2021,7427
30/08/2021,5436
31/08/2021,10534
1/9/2021,10337
2/9/2021,8955
3/9/2021,7797
4/9/2021,6727
5/9/2021,5403
6/9/2021,4413
7/9/2021,7201
8/9/2021,6731
9/9/2021,5990
10/9/2021,5376
11/9/2021,5001
12/9/2021,3779
13/09/2021,2577
14/09/2021,4128
15/09/2021,3948
16/09/2021,3145
17/09/2021,3835
18/09/2021,3385
19/09/2021,2234
20/09/2021,1932
21/09/2021,3263
22/09/2021,2720
23/09/2021,2881
24/09/2021,2557
25/09/2021,2137
26/09/2021,1760
27/09/2021,1390
28/09/2021,2057
29/09/2021,1954
30/09/2021,1690
1/10/2021,1624
2/10/2021,1414
3/10/2021,1142
4/10/2021,922
5/10/2021,1404
6/10/2021,1484
7/10/2021,1393
8/10/2021,1384
9/10/2021,1167
10/10/2021,894
11/10/2021,620
12/10/2021,1261
13/10/2021,1233
14/10/2021,1053
15/10/2021,915
16/10/2021,997
17/10/2021,747
18/10/2021,626
19/10/2021,903
20/10/2021,914
21/10/2021,633
22/10/2021,760
23/10/2021,802
24/10/2021,623
25/10/2021,460
26/10/2021,611
27/10/2021,719
28/10/2021,723
29/10/2021,683
30/10/2021,620
31/10/2021,523
1/11/2021,403
2/11/2021,612
3/11/2021,801
4/11/2021,628
5/11/2021,518
6/11/2021,401
7/11/2021,444
8/11/2021,244
9/11/2021,434
10/11/2021,480
11/11/2021,435
12/11/2021,399
13/11/2021,359
14/11/2021,339
15/11/2021,221
16/11/2021,347
17/11/2021,522
18/11/2021,400
19/11/2021,360
20/11/2021,393
21/11/2021,314
22/11/2021,186
23/11/2021,394
24/11/2021,451
25/11/2021,372
26/11/2021,453
27/11/2021,404
28/11/2021,264
29/11/2021,176
30/11/2021,297
1/12/2021,278
2/12/2021,311
3/12/2021,245
4/12/2021,246
5/12/2021,196
6/12/2021,130
7/12/2021,261
8/12/2021,264
9/12/2021,220
10/12/2021,192
11/12/2021,228
12/12/2021,163
13/12/2021,106
14/12/2021,190
15/12/2021,205
16/12/2021,213
17/12/2021,291
18/12/2021,232
19/12/2021,164
20/12/2021,133
21/12/2021,216
22/12/2021,179
23/12/2021,136
24/12/2021,204
25/12/2021,255
26/12/2021,92
27/12/2021,120
28/12/2021,278
29/12/2021,194
30/12/2021,189
31/12/2021,180
1/1/2022,274
2/1/2022,174
3/1/2022,265
4/1/2022,299
5/1/2022,404
6/1/2022,533
7/1/2022,518
8/1/2022,479
9/1/2022,529
10/1/2022,454
11/1/2022,802
12/1/2022,646
13/01/2022,793
14/01/2022,850
15/01/2022,1054
16/01/2022,855
17/01/2022,772
18/01/2022,1362
19/01/2022,1745
20/01/2022,2116
21/01/2022,2604
22/01/2022,3205
23/01/2022,2925
24/01/2022,2927
25/01/2022,4878
26/01/2022,7010
27/01/2022,8077
28/01/2022,9905
29/01/2022,11588
30/01/2022,12422
31/01/2022,10185
1/2/2022,16021
2/2/2022,17895
3/2/2022,27197
4/2/2022,32211
5/2/2022,33729
6/2/2022,36057
7/2/2022,26121
8/2/2022,37492
9/2/2022,46843
10/2/2022,40618
11/2/2022,40489
12/2/2022,55209
13/02/2022,44526
14/02/2022,36501
15/02/2022,57049
16/02/2022,64718
17/02/2022,63956
18/02/2022,59635
19/02/2022,59384
20/02/2022,48484
21/02/2022,34418
22/02/2022,57491
23/02/2022,61488
24/02/2022,57426
25/02/2022,49447
26/02/2022,46643
27/02/2022,34976
28/02/2022,25054
1/3/2022,24728
2/3/2022,40920
3/3/2022,37259
4/3/2022,26347
5/3/2022,30156
6/3/2022,24867
7/3/2022,21380
8/3/2022,30148
9/3/2022,26336
